tweetid,text,date,username,userid
2.76E+17,'Pablo' pummels Visayas http://t.co/AJLbivex #PabloPH,Wed Dec 05 01:13:45 CET 2012,rapplerdotcom,330826792
2.76E+17,MTSAT typhoon track (blue - actual position yellow - forecasted location) as of 8:12 am #PabloPH http://t.co/tiClwmWP,Wed Dec 05 01:14:14 CET 2012,jmoscillada,136277630
2.76E+17,At 08:00AM 5/DEC/2012 the eye of Typhoon #PabloPH was located @100km Northeast of Puerto Princesa City or in the... http://t.co/17IDBTzB,Wed Dec 05 01:15:02 CET 2012,dost_pagasa,202890266
2.76E+17," ""@PinoyWeather: PHOTO: Shoveling mud from their home in Brgy Canitoan. http://t.co/EqJqynXv #PabloPH""",Wed Dec 05 01:15:42 CET 2012,iamkianreyes,407409450
2.76E+17,@PinoyWeather: PHOTO:  A house toppled by Pablo's... http://t.co/AqPDGcjm #Pabloph #Bophaph #Philippines #Davao #Pablo via @iamkianreyes,Wed Dec 05 01:16:22 CET 2012,rightnowio_feed,381159056
2.76E+17,#PabloPH Maguindanao villages submerged http://t.co/WnUtpQoo via @rapplerdotcom,Wed Dec 05 01:16:36 CET 2012,ayeemacaraig,11491782
2.76E+17,latest satellite imagery of #PabloPH as of 8 am http://t.co/2jEO12Q4,Wed Dec 05 01:16:40 CET 2012,jmoscillada,136277630
2.76E+17,Severe Weather Bulletin Number 11(Issued at 5:00 a.m. 05 Dec 2012)#PabloPH has further weakened as it... http://t.co/i6466JPq,Wed Dec 05 01:18:18 CET 2012,PTVph,16374906
2.76E+17,#PabloPH.. #prayforthePHILIPPINES http://t.co/EkbjCKD7,Wed Dec 05 01:20:35 CET 2012,DelaCandace,477291142
2.76E+17,Google Person Finder activated for #PabloPH - https://t.co/5ux8pvSW @govph @philredcross @pcdspo,Wed Dec 05 01:20:38 CET 2012,aileenapolo,1158541
2.76E+17,~Please PRAY for our kababayan in Mindanao and other parts of Visayas devastated with the typhoon Pablo .. #PabloPH http://t.co/tXNbhNQd,Wed Dec 05 01:21:14 CET 2012,Graaaaaaciie,417035483
2.76E+17,Defense Sec. Voltaire Gazmin meets his men at NDRRMC #PabloPH #DZBB http://t.co/uAMXs42I,Wed Dec 05 01:21:43 CET 2012,glenjuego,117325783
2.76E+17,PAGASA UPDATE (8AM):Eye of TY #PabloPH- 100km NE of Puerto Princesa City/vicinity of Roxas Palawan http://t.co/Oej8jDxu |via @dost_pagasa,Wed Dec 05 01:21:51 CET 2012,PCGmedical,838997761
2.76E+17,@teddyboylocsin abs-cbn CDO correspondent primy kane took that picture as well as many others of #PabloPH's aftermath. Take a bow @primyck,Wed Dec 05 01:22:11 CET 2012,lyndajumilla,185597585
2.76E+17,@dost_pagasa At 08:00AM 5/DEC/2012 the eye of Typhoon #PabloPH was located @100km Northeast of Puerto Princesa... http://t.co/2SDlgdty,Wed Dec 05 01:22:28 CET 2012,bayanmo,69251421
2.76E+17,Defense Sec. Voltaire Gazmin meets his men at NDRRMC #PabloPH #DZBB http://t.co/RP1Y5ILA | via @glenjuego,Wed Dec 05 01:22:42 CET 2012,gmanews,39453212
2.76E+17,[ANCALES] Followers send updates about #PabloPH http://t.co/ME4o1pd4,Wed Dec 05 01:23:18 CET 2012,TheVideoTweets,732044208
2.76E+17,@gmanews: Defense Sec. Voltaire Gazmin meets his men at NDRRMC #PabloPH #DZBB http://t.co/RP1Y5ILA | via @glenjuego,Wed Dec 05 01:23:42 CET 2012,IAmRennard,308240692
2.76E+17,@DZMMTeleRadyo: NDRRMC: 15 patay 120627 indibidwal apektado ng hagupit ni #PabloPH (as of Dec. 5 6:00AM report)... http://t.co/sJu ...,Wed Dec 05 01:23:55 CET 2012,Meljun_Banogon,212885438
2.76E+17,Eerie skies over Coron 8:15AM #pabloPH http://t.co/SqA6r6aW,Wed Dec 05 01:24:24 CET 2012,Yoyamomi,595046071
2.76E+17,#PabloPH Visayas wrap: 'Pablo' pummels Visayas by @VoltaireTupaz http://t.co/abvHER9V via @rapplerdotcom,Wed Dec 05 01:24:51 CET 2012,ayeemacaraig,11491782
2.76E+17,@ayeemacaraig: #PabloPH Maguindanao villages submerged http://t.co/WnUtpQoo via @rapplerdotcom,Wed Dec 05 01:25:38 CET 2012,PrinceLogan959,362241459
2.76E+17,@ederic: Ang pananalasa ng Bagyong #PabloPH mula sa mga larawan at video na ipinadala ng Youscoopers sa @YouScoopGMA: http://t.co/CuV ...,Wed Dec 05 01:26:28 CET 2012,YouScoopGMA,538843820
2.76E+17,Davao Oriental: immediate needs #pabloPH - http://t.co/ASJBD74a #ReliefPH,Wed Dec 05 01:27:15 CET 2012,ReliefPHcom,744866954
2.76E+17," ""@naia_miaa: Flight Advisory as of 0800H 5Dec2012 http://t.co/xTdcCZxw"" #PabloPH #PanahonTV",Wed Dec 05 01:29:49 CET 2012,PanahonTV,793180483
2.76E+17,VIDEO: Mahigit 20000 residente sa Cagayan de Oro nagsisiksikan sa evacuation centers. Saksi si @makipulido #PabloPHhttp://t.co/uyNKqNt6,Wed Dec 05 01:30:14 CET 2012,SAKSI,39452003
2.76E+17,#PabloPH Google Person Finder also has a text only version for feature phones - https://t.co/uMCjvGkZ,Wed Dec 05 01:31:17 CET 2012,aileenapolo,1158541
2.76E+17,"  @ABSCBNNews "" @primyck: A house toppled by #PabloPH 's flood in Brgy Canitoan CDO. http://t.co/edatCDGH""",Wed Dec 05 01:31:41 CET 2012,marzh24,306073291
2.76E+17,"  @marzh24:  @ABSCBNNews "" @primyck: A house toppled by #PabloPH 's flood in Brgy Canitoan CDO. http://t.co/edatCDGH""",Wed Dec 05 01:32:18 CET 2012,jnpangilinan,43788496
2.76E+17,#PabloPH Google Person Finder also has a text only version for feature phones -... http://t.co/ZKDefP9B,Wed Dec 05 01:32:36 CET 2012,blogwatchdotph,84220281
2.76E+17,#PabloPH Google Person Finder also has a text only version for feature phones - https://t.co/DGyqdnHj via @aileenapolo,Wed Dec 05 01:32:47 CET 2012,momblogger,3840981
2.76E+17,#RescuePH INFOGRAPHIC: How one can help in times of calamity http://t.co/i76ZVU0L#ReliefPH #RoadsPH #PabloPH,Wed Dec 05 01:33:06 CET 2012,Kuya_Law,15082778
2.76E+17,@rapplerdotcom: 'Pablo' pummels Visayas http://t.co/AJLbivex #PabloPH,Wed Dec 05 01:33:13 CET 2012,jnpangilinan,43788496
2.76E+17,"  @ABSCBNNews "" @primyck: More crops flattened by last night's flood in CDO. http://t.co/RmTXAhed #PabloPH""",Wed Dec 05 01:33:24 CET 2012,marzh24,306073291
